Sr No,Script,Code,Target Buy,Target Sell
1,Aarti Ind,524208,1260,1490
2,Adani,512599,,
3,Ashok Leyland,500477,,
4,Auro Pharma,524804,880,980
5,Avenue Supermarkets Ltd (Dmart),540376,,
6,Axis Bank,532215,,
7,Bajaj Finance,500034,,
8,Bank of Baroda,532134,64,96
9,BEL,500049,,
10,Bharti Airtel,532454,,
11,BHEL,500103,45,55
12,Biocon,532523,386,466
13,BPCL,500547,390,450
14,Cadila Healthcare,532321,,
15,Cipla,500087,,
16,Cummins,500480,,
17,Divis Labs,532488,,
18,Finolex Cables,500144,,
19,Glenmark,532296,490,580
20,HDFC,500010,,
21,HDFC Bank,500180,,
22,Hindustan Zinc,500188,,
23,HPCL,500104,,
24,ICICI Bank,532174,540,660
25,IDBI Bank,500116,,
26,India Cement,530005,,
27,Indian Hotels,500850,90,110
28,Infosys,500209,,
29,ITC,500875,,
30,Jindal Stainless (Hisar),539597,,
31,KEC International,532714,,
32,Kokuyo Camlin,523207,,
33,Kotak Bank,500247,1650,1900
34,L&T Financial Services,533519,85,125
35,LTTS,540115,,
36,L&T Ltd,500510,,
37,Lupin,500257,,
38,Mahindra & Mahindra,500520,,
39,M&M Finance,532720,163,230
40,MCX India,534091,1550,1750
41,Meghmani Organi,532865,,
42,Motherson Sumi,517334,,
43,NBCC,534309,,
44,Network 18,532798,,
45,ONGC,500312,,
46,Power Finance Corp Ltd,532810,,
47,RBL Bank,540065,175,230
48,Reliance,500325,1850,2250
49,SBI,500112,330,550
50,SBI Card,543066,,
51,Siemens,500550,,
52,Spicejet,500285,,
53,Sterlite Tech,532374,,
54,Strides Pharma Science Ltd,532531,,
55,Sun Pharma,524715,,
56,Sun Pharma Advance Research Company Ltd,532872,,
57,Take Solutions,532890,,
58,Tata Motors,500570,290,400
59,Tata Steel,500470,,
60,TCS,532540,,
61,Tech Mahindra,532755,,
62,Thirumalai Chem,500412,,
63,Tyrocare,539871,,
64,Ultratech,532538,,
65,United Phosporus Ltd,512070,,
66,Vedanta,500295,,
67,Wipro,507685,,
68,Wockhard,532300,,
69,Yes Bank,532648,13.5,18
70,Zee Entertainment,505537,,
